Order Date,Region,Category,Sales,Profit
2023-01-15,West,Technology,250,80
2023-01-18,East,Furniture,300,60
2023-02-02,Central,Office Supplies,180,40
2023-02-10,South,Technology,450,100
2023-03-05,West,Furniture,200,50
2023-03-15,East,Technology,500,150
2023-04-20,South,Office Supplies,100,20
2023-05-01,Central,Furniture,320,70
2023-05-22,West,Office Supplies,280,60
2023-06-10,East,Technology,420,110
2023-06-22,Central,Office Supplies,150,30
2023-07-13,West,Furniture,310,80
2023-07-25,South,Technology,470,130
2023-08-04,East,Office Supplies,220,55
2023-08-16,Central,Furniture,350,90
2023-09-01,West,Technology,600,180
2023-09-12,South,Furniture,260,70
2023-10-08,East,Technology,510,140
2023-11-15,Central,Office Supplies,190,45
2023-12-20,West,Furniture,370,95
